Word,Meaning,Category,Level
Cryptocurrency,Digital money using blockchain,,
Cybersecurity,Protecting computers and networks from attacks,,
Firewall,"Secure, distributed digital ledger",,
Algorithm,Step-by-step problem-solving method,,
Database,Organised collection of data,,
Server,Computer that provides data/services,,
Network,Connected computers sharing data,,
Encryption,Hiding information from others,,
configuration,Arrangement or setup of parts in a system or device,,
corrupt,Broken or damaged data,,
dataset,Collection of information,,
debug,Find and fix errors in code,,
deprecate,Mark as outdated or not recommended,,
environment,Settings where software or system runs,,
format,Structure or layout of data,,
gigabit,Unit of digital information,,
hallucinate,AI giving false or made-up info,,
machine,Device that does work automatically,,
robot,Machine that performs tasks automatically,,
malvertising,Online ads containing malware,,
malicious,Harmful or intended to cause damage,,
mainframe,Large computer for many users,,
memory,Storage for data in a computer,,
module,Independent part of a system or program,,
navigation,Finding or moving through information or places,,
peripheral,Extra device connected to a computer,,
pirate,Someone copying or stealing software or media,,
processor,Part of a computer that executes instructions,,
programming,Writing instructions for computers,,
prompt,Command or question for user or AI,,
terminal,Interface for typing commands to a computer,,
wireless,Communication without cables,,
blueprint,Detailed plan or design,,
coaxial,Cable with inner conductor and outer shield,,
microchip,Tiny computer chip with circuits,,
oscillator,Device producing regular signals or waves,,
photoelectric,Related to converting light into electricity,,
prototype,Early model of a device or product,,
relay,Device that switches signals or power,,
rivet,Metal fastener that holds materials together,,
python,Programming language,,
javascript ,Programming language for web,,
artificial ,"Made by humans, not natural",,
intelligence,"Ability to think, learn, and solve problems",,
technology,"Tools, machines, and methods used to solve problems",,
information,data,,
Consensus,Agreement method in blockchain networks,,
Bandwidth,Maximum data transfer rate of a network,,
cybernetics,the scientific study of communication and control systems,,
